,LSF_ID,Province,District,Plot No,Plot area(m^2),Cropping_System,Crops_In_Plot,crop_name,crop area (m2),seeds type,quantity seeds sown,quanitiy improved seeds,quanitiy harvested (kg),total harvested,crop_proportion
0,12001.0,Kigali,Gasabo,1.0,5474.154,Mixed,4.0,Soybean ,3649.4355,Improved seeds,0.0,23.0,0.0,140.0,0.6666666
1,12001.0,Kigali,Gasabo,1.0,5474.154,Mixed,4.0,Tree tomato,1824.7178,Traditional seeds,0.0,0.0,50.0,50.0,0.3333333
2,12001.0,Kigali,Gasabo,1.0,5474.154,Mixed,4.0,Cooking banana,1642.2461,Improved seeds,0.0,0.0,600.0,900.0,0.29999998
3,12001.0,Kigali,Gasabo,1.0,5474.154,Mixed,4.0,Dessert banana,821.12305,Improved seeds,0.0,0.0,250.0,300.0,0.14999999
4,12001.0,Kigali,Gasabo,2.0,43546.945,Pure,1.0,Napia grass for fodder,43546.945,Traditional seeds,0.0,0.0,32000.0,39200.0,1.0
5,12001.0,Kigali,Gasabo,3.0,37865.133,Pure,1.0,Maize for fodder,37865.133,Improved seeds,0.0,92.0,42000.0,56850.0,1.0
6,12001.0,Kigali,Gasabo,4.0,30846.701,Pure,1.0,Napia grass for fodder,30846.701,Traditional seeds,0.0,0.0,36000.0,46200.0,1.0
7,12001.0,Kigali,Gasabo,5.0,44567.785,Pure,1.0,Soybean ,44567.785,Improved seeds,0.0,250.0,0.0,4400.0,1.0
8,12001.0,Kigali,Gasabo,6.0,43255.8,Pure,1.0,Maize,43255.8,Improved seeds,0.0,110.0,0.0,19200.0,1.0
9,12001.0,Kigali,Gasabo,8.0,169087.33,Pure,1.0,Maize,169087.33,Improved seeds,0.0,410.0,0.0,64200.0,1.0
10,12001.0,Kigali,Gasabo,9.0,24430.436,Pure,1.0,Paddy rice,24430.436,Traditional seeds,12.0,0.0,0.0,1480.0,1.0
11,12001.0,Kigali,Gasabo,10.0,20716.328,Pure,1.0,Paddy rice,20716.328,Traditional seeds,62.0,0.0,0.0,8280.0,1.0
12,12001.0,Kigali,Gasabo,11.0,19814.125,Pure,1.0,Soybean ,19814.125,Improved seeds,0.0,125.0,0.0,2200.0,1.0
13,12001.0,Kigali,Gasabo,17.0,21193.75,Pure,1.0,Other fodder crop (specify).,21193.75,Traditional seeds,0.0,0.0,0.0,11000.0,1.0
14,12001.0,Kigali,Gasabo,18.0,6223.426,Pure,1.0,Desmodium,6223.426,Traditional seeds,12.0,0.0,0.0,240.0,1.0
15,12001.0,Kigali,Gasabo,27.0,7880.1265,Pure,1.0,Other fodder crop (specify).,7880.1265,Traditional seeds,0.0,0.0,0.0,4800.0,1.0
16,12001.0,Kigali,Gasabo,29.0,57698.688,Pure,1.0,Maize for fodder,57698.688,Improved seeds,0.0,138.0,75220.0,87230.0,1.0
17,12001.0,Kigali,Gasabo,30.0,65585.02,Pure,1.0,Maize for fodder,65585.02,Improved seeds,0.0,161.0,84240.0,99174.0,1.0
18,12001.0,Kigali,Gasabo,32.0,3761.818,Pure,1.0,Maize for fodder,3761.818,Improved seeds,0.0,9.0,5744.84,5744.84,1.0
19,12001.0,Kigali,Gasabo,33.0,5528.7476,Pure,1.0,Maize for fodder,5528.7476,Improved seeds,0.0,12.0,4300.0,4300.0,1.0
20,12001.0,Kigali,Gasabo,38.0,1469.6239,Pure,1.0,Other fodder crop (specify).,1469.6239,Traditional seeds,0.0,0.0,0.0,960.0,1.0
21,12002.0,Kigali,Gasabo,5.0,242249.75,Pure,1.0,Maize,242249.75,Improved seeds,0.0,964.0,0.0,144600.0,1.0
22,12003.0,Kigali,Gasabo,3.0,31822.94,Pure,1.0,Other fodder crop (specify).,31822.94,Improved seeds,0.0,15.9,20000.0,120000.0,1.0
23,12003.0,Kigali,Gasabo,8.0,105113.16,Pure,1.0,Maize for fodder,105113.16,Improved seeds,0.0,197.0,103400.0,482000.0,1.0
24,12003.0,Kigali,Gasabo,9.0,92874.04,Pure,1.0,Maize for fodder,92874.04,Improved seeds,0.0,223.0,91397.0,91397.0,1.0
25,12003.0,Kigali,Gasabo,12.0,42608.332,Pure,1.0,Other fodder crop (specify).,42608.332,Improved seeds,0.0,21.3,170400.0,170400.0,1.0
26,12004.0,Kigali,Gasabo,1.0,49809.01,Pure,1.0,Maize for fodder,49809.01,Improved seeds,0.0,250.0,82170.0,82170.0,1.0
27,12004.0,Kigali,Gasabo,2.0,6968.0537,Pure,1.0,Cooking banana,6968.0537,Improved seeds,0.0,0.0,600.0,1320.0,1.0
28,12005.0,Kigali,Gasabo,5.0,5519.457,Pure,1.0,Maize for fodder,5519.457,Improved seeds,0.0,12.6,9350.0,9350.0,1.0
29,12005.0,Kigali,Gasabo,6.0,27259.814,Pure,1.0,Maize for fodder,27259.814,Improved seeds,0.0,62.6,45000.0,45000.0,1.0
30,12005.0,Kigali,Gasabo,9.0,2195.3645,Pure,1.0,Cooking banana,2195.3645,Improved seeds,0.0,0.0,5850.0,6840.0,1.0
31,12005.0,Kigali,Gasabo,10.0,702.4324,Pure,1.0,Cabbage,702.4324,Improved seeds,0.0,50000.0,843.0,843.0,1.0
32,12005.0,Kigali,Gasabo,11.0,3277.2559,Pure,1.0,Desmodium,3277.2559,Improved seeds,0.0,7.56,5445.0,5445.0,1.0
33,12005.0,Kigali,Gasabo,13.0,4229.101,Pure,1.0,Desmodium,4229.101,Improved seeds,0.0,9.6,5890.0,5890.0,1.0
34,12005.0,Kigali,Gasabo,15.0,99785.82,Pure,1.0,Maize for fodder,99785.82,Improved seeds,0.0,229.0,16467.0,16467.0,1.0
35,12005.0,Kigali,Gasabo,16.0,608.883,Mixed,2.0,Pumpkin,60.8883,Traditional seeds,0.0,0.0,110.0,110.0,0.1
36,12005.0,Kigali,Gasabo,16.0,608.883,Mixed,2.0,Cooking banana,608.883,Traditional seeds,0.0,0.0,120.0,140.0,1.0
38,12005.0,Kigali,Gasabo,19.0,16096.172,Pure,1.0,Maize for fodder,16096.172,Traditional seeds,28.0,0.0,21760.0,21760.0,1.0
39,12006.0,Kigali,Gasabo,1.0,70123.484,Pure,1.0,Maize,70123.484,Improved seeds,0.0,280.0,20000.0,20000.0,1.0
40,12007.0,South,Gasabo,1.0,2125225.2,Pure,1.0,Paddy rice,2125225.2,Improved seeds,0.0,10634.5,800000.0,872029.0,1.0
41,12008.0,Kigali,Gasabo,1.0,10300.318,Mixed,2.0,Bush bean,10300.318,Traditional seeds,86.4,0.0,864.0,864.0,1.0
42,12008.0,Kigali,Gasabo,1.0,10300.318,Mixed,2.0,Avocado,10300.318,Improved seeds,0.0,0.0,200.0,230.0,1.0
43,12008.0,Kigali,Gasabo,2.0,13079.128,Mixed,2.0,Maize,653.95636,Traditional seeds,109.8,0.0,1098.0,1098.0,0.049999997
44,12008.0,Kigali,Gasabo,2.0,13079.128,Mixed,2.0,Bush bean,12425.172,Traditional seeds,109.8,0.0,1098.0,1098.0,0.95000005
45,12008.0,Kigali,Gasabo,3.0,1108.3578,Pure,1.0,Napia grass for fodder,1108.3578,Traditional seeds,0.0,0.0,500.0,500.0,1.0
46,12008.0,Kigali,Gasabo,4.0,1468.3127,Pure,1.0,Napia grass for fodder,1468.3127,Traditional seeds,0.0,0.0,1000.0,1375.0,1.0
47,12008.0,Kigali,Gasabo,5.0,79166.234,Pure,1.0,Bush bean,79166.234,Traditional seeds,667.8,0.0,6678.0,6678.0,1.0
48,12008.0,Kigali,Gasabo,7.0,1032.6678,Mixed,2.0,Maize,51.633396,Traditional seeds,30000.0,0.0,0.0,3.0,0.050000004
49,12008.0,Kigali,Gasabo,7.0,1032.6678,Mixed,2.0,Bush bean,981.0345,Traditional seeds,9.9,0.0,99.0,99.0,0.95000005
50,12008.0,Kigali,Gasabo,8.0,914.84607,Pure,1.0,Maize,914.84607,Traditional seeds,0.0,0.0,0.0,90.0,1.0
51,12008.0,Kigali,Gasabo,9.0,3414.4106,Pure,1.0,Napia grass for fodder,3414.4106,Traditional seeds,0.0,0.0,3750.0,8250.0,1.0
52,12008.0,Kigali,Gasabo,10.0,3153.4524,Pure,1.0,Bush bean,3153.4524,Traditional seeds,26.1,0.0,261.0,261.0,1.0
53,12008.0,Kigali,Gasabo,11.0,374.47223,Pure,1.0,Mango,374.47223,Improved seeds,0.0,0.0,240.0,240.0,1.0
54,12008.0,Kigali,Gasabo,15.0,1151.445,Pure,1.0,Orange,806.0115,Improved seeds,0.0,0.0,30.0,40.0,0.7
55,12008.0,Kigali,Gasabo,16.0,2125.8418,Mixed,2.0,Tree tomato,212.58418,Traditional seeds,0.0,0.0,30.0,50.0,0.1
56,12008.0,Kigali,Gasabo,16.0,2125.8418,Mixed,2.0,Mango,2125.8418,Both(Trad and Improved,0.0,0.0,100.0,100.0,1.0
