,LSF_ID,Province,District,Plot No,Plot area(m^2),Organic fertilizer,organic fertilizer used (kg),inorganic fertilizer,inorganic fertilizer type,inorganic fertilizer used (kg),source inorganic fertilizer
0,12001.0,Kigali,Gasabo,1.0,5474.15359957,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
1,12001.0,Kigali,Gasabo,2.0,43546.9430287,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
2,12001.0,Kigali,Gasabo,3.0,37865.1343842,1,10000.0,1,DAP,118900.0,Government(MINAGRI/RAB/NAEB/District
3,12001.0,Kigali,Gasabo,4.0,30846.7016506,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
4,12001.0,Kigali,Gasabo,5.0,44567.7840859,1,5000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
5,12001.0,Kigali,Gasabo,5.0,44567.7840859,1,5000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
6,12001.0,Kigali,Gasabo,5.0,44567.7840859,1,5000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
7,12001.0,Kigali,Gasabo,6.0,43255.7991067,1,25000.0,1,DAP,137350.0,Government(MINAGRI/RAB/NAEB/District
8,12001.0,Kigali,Gasabo,8.0,169087.335806,1,92000.0,1,DAP,5494.0,Government(MINAGRI/RAB/NAEB/District
9,12001.0,Kigali,Gasabo,9.0,3714.10882293,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
10,12001.0,Kigali,Gasabo,10.0,20716.3283363,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
11,12001.0,Kigali,Gasabo,11.0,19814.1256268,1,2500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
12,12001.0,Kigali,Gasabo,11.0,19814.1256268,1,2500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
13,12001.0,Kigali,Gasabo,11.0,19814.1256268,1,2500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
14,12001.0,Kigali,Gasabo,17.0,21193.749962,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
15,12001.0,Kigali,Gasabo,18.0,6223.42612839,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
16,12001.0,Kigali,Gasabo,27.0,7880.12638644,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
17,12001.0,Kigali,Gasabo,29.0,57698.6890444,1,15000.0,1,DAP,435.0,Government(MINAGRI/RAB/NAEB/District
18,12001.0,Kigali,Gasabo,30.0,65585.0262224,1,17500.0,1,DAP,207870.0,Government(MINAGRI/RAB/NAEB/District
19,12001.0,Kigali,Gasabo,32.0,3761.81803918,1,1000.0,1,DAP,30.0,Government(MINAGRI/RAB/NAEB/District
20,12001.0,Kigali,Gasabo,33.0,5528.74753489,1,1300.0,1,DAP,30.0,Government(MINAGRI/RAB/NAEB/District
21,12001.0,Kigali,Gasabo,38.0,1469.62389604,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
22,12002.0,Kigali,Gasabo,5.0,242249.752812,1,7230.0,1,DAP,1482150.0,Market
