,LSF_ID,Province,District,Plot No,Plot area(m^2),Organic fertilizer,organic fertilizer used (kg),inorganic fertilizer,crop_name,DAP,N/Ainorganic fertilizer type,NPK 17-17-17,Urea,Lliquid urea,Other inorganic fertilizer (to specify),NPK 20-10-10,KCL/MOP,NPK 25-5-5
22,12001.0,Kigali,Gasabo,3.0,37865.1343842,1,10000.0,1,Maize for fodder,118900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5760,12001.0,Kigali,Gasabo,6.0,43255.7991067,1,25000.0,1,Maize,137350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8640,12001.0,Kigali,Gasabo,8.0,169087.335806,1,92000.0,1,Maize,5494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14422,12001.0,Kigali,Gasabo,29.0,57698.6890444,1,15000.0,1,Maize for fodder,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17302,12001.0,Kigali,Gasabo,30.0,65585.0262224,1,17500.0,1,Maize for fodder,207870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20182,12001.0,Kigali,Gasabo,32.0,3761.81803918,1,1000.0,1,Maize for fodder,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23062,12001.0,Kigali,Gasabo,33.0,5528.74753489,1,1300.0,1,Maize for fodder,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25920,12002.0,Kigali,Gasabo,5.0,242249.752812,1,7230.0,1,Maize,1482150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28822,12003.0,Kigali,Gasabo,8.0,105113.149787,1,420400.0,1,Maize for fodder,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0
31702,12003.0,Kigali,Gasabo,9.0,92874.0422306,1,371600.0,1,Maize for fodder,0.0,0.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0
34582,12004.0,Kigali,Gasabo,1.0,49809.0121181,1,4000.0,1,Maize for fodder,205000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43222,12005.0,Kigali,Gasabo,5.0,5519.45674314,1,400.0,1,Maize for fodder,10250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46102,12005.0,Kigali,Gasabo,6.0,27259.8149659,1,200.0,1,Maize for fodder,16400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66262,12005.0,Kigali,Gasabo,18.0,0.0,1,2000.0,1,Maize for fodder,20500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69142,12005.0,Kigali,Gasabo,19.0,16096.1727637,0,0.0,1,Maize for fodder,20500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72000,12006.0,Kigali,Gasabo,1.0,70123.4843402,1,2000.0,1,Maize,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80640,12010.0,Kigali,Gasabo,3.0,5130.09858287,1,3600.0,1,Maize,14350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86400,12010.0,Kigali,Gasabo,9.0,870.404418441,1,1500.0,1,Maize,4100.0,0.0,0.0,1775.0,0.0,0.0,0.0,0.0,0.0
106606,13001.0,Kigali,Kicukiro,3.0,12313.9592992,1,2000.0,1,Maize for fodder,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0
109486,13001.0,Kigali,Kicukiro,7.0,2251.63113444,1,520.0,1,Maize for fodder,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0
115235,13003.0,Kigali,Kicukiro,2.0,118.936436328,1,720.0,1,Sweet pepper,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
