,plot_area(m^2)_x,crops_in_plot,total_harvested,crop_proportion,npk_20-10-10,kcl/mop,Kigali,South,Gasabo,Gatsibo,Gisagara,Huye,Kayonza,Kirehe,Nyagatare,Rusizi,Rwamagana,Mixed,Bush bean,Cooking banana,Dessert banana,Paddy rice,Both(Trad and Improved,Improved seeds,quanitiy_harvested_(kg)
0,5519.4569999999985,1.0,9350.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9350.0
1,4067.5269,2.0,19200.0,0.9,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,9200.0
2,29553.035,1.0,40.0,0.37499997,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40.0
3,670168.94,1.0,82050.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,82050.0
4,1352.9701,1.0,30.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.0
5,4765.5205,1.0,2000.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000.0
6,4143304.8,1.0,1248961.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,932405.0
7,2732.7817,2.0,121.5,0.95,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,121.5
8,885.36194,1.0,1328.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328.0
9,10380.212,1.0,18186.74,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15458.73
10,4292.4272,1.0,2000.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000.0
11,46932.51,1.0,5500.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500.0
12,16096.171999999999,1.0,21760.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21760.0
13,49521.72,2.0,50.0,0.22222222,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0
14,3914.7852,2.0,360.0,0.625,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,360.0
15,34129.72,1.0,59631.56,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50686.82
16,2775.2512,1.0,2000.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000.0
17,448780.4,1.0,192500.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,192500.0
18,699.12103,1.0,1300.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1300.0
19,933.60156,2.0,150.0,0.79999995,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
20,3577.5537,2.0,2080.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2000.0
21,1089728.1,1.0,424280.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,282853.0
22,1234.5719,1.0,700.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
23,4492769.0,1.0,1600000.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1300000.0
24,16386.527,1.0,41000.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000.0
25,8491.265,2.0,180.0,0.09999999400000001,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,180.0
26,36295.387,4.0,8390.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,350.0
27,5095.6313,2.0,240.0,0.31250003,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,150.0
28,1437302.0,1.0,550400.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,550400.0
29,19447.457,2.0,650.0,0.4,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
30,23968.084,2.0,866.5,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,866.5
31,105113.16,1.0,482000.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103400.0
32,43167.687999999995,3.0,8160.0,0.9306931,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,3900.0
33,63906.155999999995,2.0,959.0,0.74,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,914.0
34,88442.95,1.0,129600.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121680.0
35,23968.084,2.0,123.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0
36,40539.98,3.0,1800.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1200.0
37,35391.01,2.0,1300.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1300.0
38,43700.695,1.0,4370.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4370.0
39,3080.903,1.0,1500.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.0
40,3362.0483,3.0,400.0,0.7368420999999999,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,400.0
41,264.96902,1.0,300.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200.0
42,7777.1216,2.0,500.0,0.78,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,500.0
43,736061.4,1.0,315000.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,315000.0
44,1302.3328,1.0,950.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
45,9079.381,2.0,9600.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0
46,19159.928,3.0,750.0,0.15789473,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,750.0
47,305.60037,1.0,900.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600.0
48,1710.2059,2.0,23.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,23.0
49,15971.783000000001,1.0,663.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,481.0
50,296505.75,1.0,19337.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19337.0
51,13319.4795,2.0,71000.0,0.85,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,40000.0
52,14798.848,2.0,3100.0,0.19999999,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3100.0
53,395529.03,1.0,252779.9,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,196606.6
54,118832.46,1.0,1704000.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,288000.0
55,146778.25,1.0,29380.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29380.0
56,145164.8,1.0,36000.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29000.0
57,1207.0739999999996,1.0,302.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.0
58,70406.26,1.0,6259.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5259.0
59,14840.393,1.0,37.0,0.35000002,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.0
60,30259.137000000002,1.0,69552.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57960.0
61,2555.5217,1.0,580.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,580.0
62,2387.2864,1.0,560.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
63,15387.577,2.0,1250.0,0.84999996,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1250.0
64,647.77454,1.0,250.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
65,10989.018999999998,2.0,6450.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,6000.0
66,32528.22700000001,1.0,1000.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
67,5755.533,2.0,7000.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6000.0
68,2248.0671,1.0,28.98,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,28.98
69,45818.82,3.0,800.0,0.3,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,800.0
70,4229.101,1.0,5890.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5890.0
71,3827.6309,2.0,42.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,42.0
72,86205.32,1.0,6085.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6085.0
73,805541.3,1.0,266604.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,247942.0
74,3527.506,1.0,1250.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250.0
75,13202.133,2.0,250.0,0.10000001,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,250.0
76,5474.154,4.0,300.0,0.14999999,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,250.0
77,14983.678999999998,1.0,460.4,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,460.4
