,plot_area(m^2)_x,total_harvested,crop_proportion,other_inorganic_fertilizer_(to_specify),East,Kigali,South,West,Gasabo,Gatsibo,Nyagatare,Ruhango,Mixed,Bush bean,Cassava,Cauliflower,Cooking banana,Irish potato,Leek,Maize,Napia grass for fodder,Other annual crop,Paddy rice,Sorghum,Soybean ,Sweet potato,non_zero_yield
0,5474.154,140.0,0.6666666,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,5474.154,50.0,0.3333333,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5474.154,900.0,0.29999998,0.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,5474.154,300.0,0.14999999,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,43546.945,39200.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,37865.133,56850.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,30846.701,46200.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,44567.785,4400.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,43255.8,19200.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,169087.33,64200.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,24430.436,1480.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,20716.328,8280.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,19814.125,2200.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
