,LSF_ID,Province,District,number,Plot_area,Cropping_System,Crops_In_Plot,crop_name,crop area (m2),number trees, trees susceptible six months,Sowing date,harvesting data,seeds type,quantity seeds sown unity,quantity seeds sown,qualitiy of seeds purchased,Amount purchased,quanitiy improved seeds unity,quanitiy improved seeds ,quanitiy improved seeds purchased,improved seeds price,improved seeds origin,quanitiy harvested (kg),remaining harvested,total harvested,Production Status,Produce sold,farm gate price of crop,crop_group
0,12001.0,Kigali,Gasabo,1.0,5474.154,Mixed,4.0,Soybean ,3649.4355,,,Between 01-15/10,Between 01-28/02,Improved seeds,,,,,Kg,23.0,23.0,5750.0,RAB/NAEB/SECTOR,0.0,140.0,140.0,Diseases and pasts,No,,Soybean 
1,12001.0,Kigali,Gasabo,1.0,5474.154,Mixed,4.0,Tree tomato,1824.7178,,,Before 01/09,between 01-15/01,Traditional seeds,NA,,,0.0,,,,,,50.0,0.0,50.0,Good harvest as it was expected,Yes,900.0,Fruits
2,12001.0,Kigali,Gasabo,1.0,5474.154,Mixed,4.0,Cooking banana,1642.2461,43.0,17.0,Not applicable,between 16- 31/12 ,Improved seeds,,,,,NA,,,0.0,RAB/NAEB/SECTOR,600.0,300.0,900.0,Good harvest as it was expected,No,,Cooking banana
3,12001.0,Kigali,Gasabo,1.0,5474.154,Mixed,4.0,Dessert banana,821.12305,20.0,11.0,Not applicable,between 16- 31/12 ,Improved seeds,,,,,NA,,,0.0,RAB/NAEB/SECTOR,250.0,50.0,300.0,Good harvest as it was expected,No,,Dessert banana
4,12001.0,Kigali,Gasabo,2.0,43546.945,Pure,1.0,Napia grass for fodder,43546.945,,,Before 01/09,between 16- 31/12 ,Traditional seeds,NA,,,0.0,,,,,,32000.0,7200.0,39200.0,Good harvest as it was expected,No,,Other crops
5,12001.0,Kigali,Gasabo,3.0,37865.133,Pure,1.0,Maize for fodder,37865.133,,,Between 16-30/09,between 16- 31/01,Improved seeds,,,,,Kg,92.0,92.0,32000.0,RAB/NAEB/SECTOR,42000.0,14850.0,56850.0,Good harvest as it was expected,No,,Other crops
6,12001.0,Kigali,Gasabo,4.0,30846.701,Pure,1.0,Napia grass for fodder,30846.701,,,Before 01/09,between 16- 31/12 ,Traditional seeds,NA,,,0.0,,,,,,36000.0,10200.0,46200.0,Good harvest as it was expected,No,,Other crops
7,12001.0,Kigali,Gasabo,5.0,44567.785,Pure,1.0,Soybean ,44567.785,,,Between 16-30/09,Between 01-28/02,Improved seeds,,,,,Kg,250.0,250.0,62500.0,RAB/NAEB/SECTOR,0.0,4400.0,4400.0,Good harvest as it was expected,No,,Soybean 
8,12001.0,Kigali,Gasabo,6.0,43255.8,Pure,1.0,Maize,43255.8,,,Between 16-30/09,Between 01-28/02,Improved seeds,,,,,Kg,110.0,110.0,34100.0,RAB/NAEB/SECTOR,0.0,19200.0,19200.0,Good harvest as it was expected,No,,Maize
9,12001.0,Kigali,Gasabo,8.0,169087.33,Pure,1.0,Maize,169087.33,,,Between 16-30/09,Between 01-28/02,Improved seeds,,,,,Kg,410.0,410.0,127100.0,RAB/NAEB/SECTOR,0.0,64200.0,64200.0,Good harvest as it was expected,No,,Maize
10,12001.0,Kigali,Gasabo,9.0,24430.436,Pure,1.0,Paddy rice,24430.436,,,Not applicable,Between 01-28/02,Traditional seeds,Kg,12.0,12.0,4200.0,,,,,,0.0,1480.0,1480.0,Good harvest as it was expected,No,,Paddy rice
11,12001.0,Kigali,Gasabo,10.0,20716.328,Pure,1.0,Paddy rice,20716.328,,,Not applicable,Between 01-28/02,Traditional seeds,Kg,62.0,62.0,21700.0,,,,,,0.0,8280.0,8280.0,Good harvest as it was expected,No,,Paddy rice
12,12001.0,Kigali,Gasabo,11.0,19814.125,Pure,1.0,Soybean ,19814.125,,,Between 16-30/09,Between 01-28/02,Improved seeds,,,,,Kg,125.0,125.0,31250.0,RAB/NAEB/SECTOR,0.0,2200.0,2200.0,Good harvest as it was expected,No,,Soybean 
13,12001.0,Kigali,Gasabo,17.0,21193.75,Pure,1.0,Other fodder crop (specify).,21193.75,,,Before 01/09,Between 01-28/02,Traditional seeds,NA,,,0.0,,,,,,0.0,11000.0,11000.0,Good harvest as it was expected,No,,Other crops
14,12001.0,Kigali,Gasabo,18.0,6223.426,Pure,1.0,Desmodium,6223.426,,,Before 01/09,Between 01-28/02,Traditional seeds,Kg,12.0,12.0,6000.0,,,,,,0.0,240.0,240.0,Diseases and pasts,No,,Other crops
15,12001.0,Kigali,Gasabo,27.0,7880.1265,Pure,1.0,Other fodder crop (specify).,7880.1265,,,Before 01/09,Between 01-28/02,Traditional seeds,NA,,,0.0,,,,,,0.0,4800.0,4800.0,Good harvest as it was expected,No,,Other crops
